,BIDS Data,BIDS Validated
307,/sub-159441/anat/sub-159441_T1w.nii.gz,True
308,/sub-159744/anat/sub-159744_T1w.nii.gz,True
309,/sub-159845/anat/sub-159845_T1w.nii.gz,True
310,/sub-159946/anat/sub-159946_T1w.nii.gz,True
311,/sub-160123/anat/sub-160123_T1w.nii.gz,True
312,/sub-160729/anat/sub-160729_T1w.nii.gz,True
313,/sub-160830/anat/sub-160830_T1w.nii.gz,True
314,/sub-160931/anat/sub-160931_T1w.nii.gz,True
315,/sub-161327/anat/sub-161327_T1w.nii.gz,True
316,/sub-161630/anat/sub-161630_T1w.nii.gz,True
317,/sub-161731/anat/sub-161731_T1w.nii.gz,True
318,/sub-161832/anat/sub-161832_T1w.nii.gz,True
319,/sub-162026/anat/sub-162026_T1w.nii.gz,True
320,/sub-162228/anat/sub-162228_T1w.nii.gz,True
321,/sub-162329/anat/sub-162329_T1w.nii.gz,True
322,/sub-162733/anat/sub-162733_T1w.nii.gz,True
323,/sub-162935/anat/sub-162935_T1w.nii.gz,True
324,/sub-163129/anat/sub-163129_T1w.nii.gz,True
325,/sub-163331/anat/sub-163331_T1w.nii.gz,True
326,/sub-163432/anat/sub-163432_T1w.nii.gz,True
327,/sub-163836/anat/sub-163836_T1w.nii.gz,True
328,/sub-164030/anat/sub-164030_T1w.nii.gz,True
329,/sub-164131/anat/sub-164131_T1w.nii.gz,True
330,/sub-164636/anat/sub-164636_T1w.nii.gz,True
331,/sub-164939/anat/sub-164939_T1w.nii.gz,True
332,/sub-165032/anat/sub-165032_T1w.nii.gz,True
333,/sub-165234/anat/sub-165234_T1w.nii.gz,True
334,/sub-165436/anat/sub-165436_T1w.nii.gz,True
335,/sub-165638/anat/sub-165638_T1w.nii.gz,True
336,/sub-165840/anat/sub-165840_T1w.nii.gz,True
337,/sub-165941/anat/sub-165941_T1w.nii.gz,True
338,/sub-166438/anat/sub-166438_T1w.nii.gz,True
339,/sub-166640/anat/sub-166640_T1w.nii.gz,True
340,/sub-167036/anat/sub-167036_T1w.nii.gz,True
341,/sub-167238/anat/sub-167238_T1w.nii.gz,True
342,/sub-167440/anat/sub-167440_T1w.nii.gz,True
343,/sub-167743/anat/sub-167743_T1w.nii.gz,True
344,/sub-168038/anat/sub-168038_T1w.nii.gz,True
345,/sub-168139/anat/sub-168139_T1w.nii.gz,True
346,/sub-168240/anat/sub-168240_T1w.nii.gz,True
347,/sub-168341/anat/sub-168341_T1w.nii.gz,True
348,/sub-168745/anat/sub-168745_T1w.nii.gz,True
349,/sub-168947/anat/sub-168947_T1w.nii.gz,True
350,/sub-169040/anat/sub-169040_T1w.nii.gz,True
351,/sub-169141/anat/sub-169141_T1w.nii.gz,True
352,/sub-169343/anat/sub-169343_T1w.nii.gz,True
353,/sub-169444/anat/sub-169444_T1w.nii.gz,True
354,/sub-169545/anat/sub-169545_T1w.nii.gz,True
355,/sub-169747/anat/sub-169747_T1w.nii.gz,True
356,/sub-169949/anat/sub-169949_T1w.nii.gz,True
357,/sub-170631/anat/sub-170631_T1w.nii.gz,True
358,/sub-170934/anat/sub-170934_T1w.nii.gz,True
359,/sub-171128/anat/sub-171128_T1w.nii.gz,True
360,/sub-171330/anat/sub-171330_T1w.nii.gz,True
361,/sub-171431/anat/sub-171431_T1w.nii.gz,True
362,/sub-171532/anat/sub-171532_T1w.nii.gz,True
363,/sub-171633/anat/sub-171633_T1w.nii.gz,True
364,/sub-171734/anat/sub-171734_T1w.nii.gz,True
365,/sub-172029/anat/sub-172029_T1w.nii.gz,True
366,/sub-172130/anat/sub-172130_T1w.nii.gz,True
367,/sub-172332/anat/sub-172332_T1w.nii.gz,True
368,/sub-172433/anat/sub-172433_T1w.nii.gz,True
369,/sub-172534/anat/sub-172534_T1w.nii.gz,True
370,/sub-172635/anat/sub-172635_T1w.nii.gz,True
371,/sub-172938/anat/sub-172938_T1w.nii.gz,True
372,/sub-173132/anat/sub-173132_T1w.nii.gz,True
373,/sub-173233/anat/sub-173233_T1w.nii.gz,True
374,/sub-173334/anat/sub-173334_T1w.nii.gz,True
375,/sub-173435/anat/sub-173435_T1w.nii.gz,True
376,/sub-173536/anat/sub-173536_T1w.nii.gz,True
377,/sub-173637/anat/sub-173637_T1w.nii.gz,True
378,/sub-173738/anat/sub-173738_T1w.nii.gz,True
379,/sub-173839/anat/sub-173839_T1w.nii.gz,True
